x,y,z
-1.058,0.069,2.143
-1.054,0.526,2.183
-1.056,0.825,2.086
-1.053,0.475,2.182
-1.054,0.435,2.183
-1.054,-0.553,2.089
-1.048,0.407,2.171
-1.045,0.371,2.167
-1.041,0.331,2.159
-1.043,0.809,2.11
-1.04,-0.476,2.161
-1.039,-0.511,2.158
-1.038,-0.376,2.157
-1.038,-0.013,2.154
-1.039,-0.297,2.156
-1.038,-0.229,2.154
-1.036,-0.316,2.152
-1.037,-0.161,2.153
-1.034,0.01,2.147
-1.036,-0.439,2.151
-1.036,0.797,2.146
-1.034,-0.272,2.148
-1.034,-0.34,2.148
-1.034,-0.075,2.146
-1.034,0.309,2.146
-1.033,-0.413,2.145
-1.033,-0.189,2.145
-1.033,0.808,1.988
-1.031,-0.527,2.142
-1.032,-0.122,2.142
-1.032,0.059,2.141
-1.023,0.068,1.84
-1.022,0.295,2.122
-1.013,0.793,2.078
-1.016,0.808,2.013
-1.009,0.067,2.096
-1.006,-0.528,2.047
-0.978,0.785,2.025
-0.997,0.068,1.836
-0.994,0.806,2.018
-0.993,0.786,1.917
-0.992,-0.507,1.315
-0.988,0.283,1.964
-0.982,-0.515,2.047
-0.979,0.809,1.99
-0.967,-0.493,1.309
-0.966,-0.496,1.467
-0.965,0.276,1.781
-0.962,-0.437,1.252
-0.96,-0.49,1.25
-0.955,-0.51,1.994
-0.952,0.796,1.983
-0.951,-0.492,1.723
-0.919,-0.485,1.821
-0.927,-0.484,1.759
-0.932,-0.479,1.396
-0.922,-0.476,1.64
-0.918,0.064,1.748
-0.904,0.255,1.849
-0.904,0.255,1.721
-0.898,-0.394,1.179
-0.882,-0.468,1.682
-0.897,-0.473,1.712
-0.894,-0.459,1.43
-0.889,-0.456,1.396
-0.882,0.579,1.909
-0.883,0.625,1.91
-0.878,0.526,1.909
-0.888,0.251,1.582
-0.877,-0.453,1.31
-0.884,0.476,1.905
-0.878,0.667,1.904
-0.883,0.324,1.905
-0.883,0.427,1.904
-0.882,0.375,1.904
-0.881,0.268,1.902
-0.88,-0.477,1.828
-0.881,0.25,1.471
-0.861,0.28,1.893
-0.864,-0.126,1.892
-0.865,0.685,1.89
-0.876,-0.176,1.894
-0.863,-0.426,1.891
-0.87,-0.278,1.892
-0.871,-0.329,1.89
-0.868,-0.379,1.89
-0.871,-0.227,1.89
-0.87,-0.009,1.887
-0.863,-0.076,1.888
-0.869,-0.457,1.881
-0.873,-0.471,1.753
-0.871,0.05,1.881
-0.87,0.701,1.742
-0.858,0.659,1.422
-0.857,0.709,1.868
-0.856,-0.442,1.428
-0.856,0.654,1.279
-0.861,-0.442,1.472
-0.855,0.246,1.872
-0.858,0.63,1.898
-0.857,0.568,1.896
-0.857,0.376,1.897
-0.858,0.524,1.897
-0.856,0.475,1.895
-0.856,0.329,1.894
-0.857,0.658,1.531
-0.854,0.657,1.471
-0.854,-0.444,1.331
-0.855,0.422,1.893
-0.854,-0.435,1.229
-0.855,-0.448,1.564
-0.854,-0.444,1.372
-0.852,0.653,1.223
-0.853,0.653,1.367
-0.853,0.652,1.191
-0.851,0.06,1.664
-0.85,0.648,1.338
-0.825,-0.373,1.889
-0.821,0.656,1.427
-0.824,0.646,1.169
-0.825,0.001,1.885
-0.826,0.662,1.62
-0.835,-0.437,1.479
-0.824,-0.272,1.89
-0.833,-0.444,1.378
-0.829,0.658,1.481
-0.825,-0.222,1.889
-0.823,0.656,1.329
-0.824,-0.323,1.889
-0.827,-0.437,1.179
-0.827,-0.174,1.889
-0.826,0.653,1.216
-0.823,0.652,1.113
-0.829,0.66,1.53
-0.834,0.714,1.825
-0.834,-0.442,1.28
-0.826,0.655,1.379
-0.832,-0.44,1.525
-0.825,0.66,1.573
-0.825,-0.443,1.327
-0.826,-0.436,1.223
-0.829,-0.435,1.128
-0.823,0.648,1.131
-0.826,-0.437,1.426
-0.835,0.651,1.159
-0.821,0.654,1.278
-0.841,0.709,1.862
-0.84,-0.45,1.865
-0.839,-0.458,1.821
-0.839,0.056,1.817
-0.817,0.646,1.228
-0.835,0.647,1.316
-0.822,0.635,1.905
-0.832,0.648,1.281
-0.832,0.345,1.904
-0.821,0.52,1.901
-0.832,-0.453,1.633
-0.822,0.655,1.902
-0.821,0.412,1.901
-0.819,0.645,1.086
-0.831,0.4,1.9
-0.818,0.679,1.889
-0.818,0.375,1.897
-0.82,0.528,1.897
-0.818,0.429,1.897
-0.82,0.578,1.896
-0.819,0.276,1.896
-0.817,0.323,1.898
